mean_acceleration_x,std_acceleration_x,mad_acceleration_x,max_acceleration_x,min_acceleration_x,energy_acceleration_x,bandsEnergy_acceleration_x,iqr_acceleration_x,meanFreq_acceleration_x,skewness_acceleration_x,kurtosis_acceleration_x,mean_acceleration_y,std_acceleration_y,mad_acceleration_y,max_acceleration_y,min_acceleration_y,energy_acceleration_y,bandsEnergy_acceleration_y,iqr_acceleration_y,meanFreq_acceleration_y,skewness_acceleration_y,kurtosis_acceleration_y,mean_acceleration_z,std_acceleration_z,mad_acceleration_z,max_acceleration_z,min_acceleration_z,energy_acceleration_z,bandsEnergy_acceleration_z,iqr_acceleration_z,meanFreq_acceleration_z,skewness_acceleration_z,kurtosis_acceleration_z,mean_gyro_x,std_gyro_x,mad_gyro_x,max_gyro_x,min_gyro_x,energy_gyro_x,bandsEnergy_gyro_x,iqr_gyro_x,meanFreq_gyro_x,skewness_gyro_x,kurtosis_gyro_x,mean_gyro_y,std_gyro_y,mad_gyro_y,max_gyro_y,min_gyro_y,energy_gyro_y,bandsEnergy_gyro_y,iqr_gyro_y,meanFreq_gyro_y,skewness_gyro_y,kurtosis_gyro_y,mean_gyro_z,std_gyro_z,mad_gyro_z,max_gyro_z,min_gyro_z,energy_gyro_z,bandsEnergy_gyro_z,iqr_gyro_z,meanFreq_gyro_z,skewness_gyro_z,kurtosis_gyro_z,sma_acc,sma_gyro,angle_acc_gyro,label
4.86742994,12.552542923521887,9.76939,30.641142,-13.284826,179.68254472919918,15893.832366365028,19.11179,-0.000813437629706265,0.4137449268311305,-0.8975141215326006,-6.71206504,7.632864911075471,5.563227,4.379593,-21.836017,102.72983758441009,11549.759789108426,12.980314,-0.00045272113093099744,-0.3553456622821189,-1.1783593254069273,-1.53503043,3.8711767953951033,2.901099,9.132982,-8.067562,17.192468104419433,1528.1951393687552,5.70351225,-0.0005311744035332179,0.4120847668149489,-0.15587387046752754,-0.02598174999999999,1.1442960915367182,0.974884,1.591406,-2.432107,1.29699446098821,101.50751880662952,1.91038225,-0.0001889828901266351,-0.3176965024250576,-1.0662754180617549,0.010038399999999992,1.4813405202493948,0.6962624999999999,2.833368,-5.069739,2.17252680903798,169.76702150049715,1.487277,-0.00024911412871425924,-0.9409088366869515,1.9063454095238273,-0.18839178999999998,1.151449862885307,0.9217390000000001,2.510002,-2.345875,1.3480698854106103,108.09593107178695,1.7482305,-0.00018081206238823176,0.2955310976235065,-0.5910268916914823,21.921021650000004,3.0054318600000003,1.5113865010666718,jumping
5.314464780000001,14.914898592987083,10.308759,31.960497,-16.123003,248.47319393655772,21626.884029751258,27.513566999999995,-0.0008239292557539087,0.4430314143898001,-1.2657247000397795,-5.4500798700000015,9.496432562936455,6.1455415,8.562413,-27.129597,118.98377969755505,11617.124204144267,15.30291375,-5.412202515783483e-05,-0.6288177937728939,-0.8092335460446889,-1.69187309,4.0273221024850585,2.781613,9.132982,-11.058817,18.919564636659167,1708.8543042585388,5.759812999999999,-0.0009204707009018595,0.05014448808400531,-0.06592480931324518,0.05794556000000002,1.3809042370650941,0.8316935,3.579251,-2.972355,1.8911852347486002,149.07329478263358,1.60079525,-0.0008975520450946144,0.07338856984802136,0.16940041219153512,-0.0407559,0.9223057286980837,0.6115395,1.706978,-2.079514,0.84380242200222,66.09027663411933,1.373952,-0.0004031556767460201,-0.4032544349430281,-0.7304728221015933,-0.03463228,0.9748034623961888,0.703085,1.795347,-1.789589,0.9419387672146,73.68799231867229,1.46102225,-0.00014913331592533648,-0.14168310174189372,-0.9015790550035732,24.121072979999997,2.63421174,0.29323731829402677,jumping
5.442832899999998,17.39547692600253,10.373402500000001,45.56884,-16.4546,329.201021285578,28033.516599546056,26.858528749999998,-7.346929609975232e-06,0.7267723530412034,-0.6666912832877969,-5.470387169999999,9.766409685855827,6.292635499999999,8.562413,-27.129597,124.35406636015927,12053.600418620506,16.59335175,-6.528673143774743e-06,-0.5127293051579145,-1.026659563936197,-1.5113607999999998,4.774935655145501,2.8538135000000002,15.186421,-11.058817,24.85622187344864,2121.839324130131,5.229646999999999,-0.0004969973270117411,0.8507417232969039,1.7822123047900646,0.10817455000000001,1.5317067574189576,1.0163105,3.579251,-3.097249,2.3343660680833698,183.31467305988588,1.91207175,-0.0003042219474126124,-0.02886328633015017,-0.41543415447299825,0.11815632,0.7729686968246815,0.5110285,1.422325,-1.76193,0.6054667161640799,48.39753629361503,0.982437,-3.4382362235674504e-05,-0.5917255922178704,-0.4317503614617544,0.12338716999999999,1.6785389656704972,1.0755865,4.953623,-2.089758,2.80454252240205,220.5380183104739,1.89308175,-0.0006931633354081611,1.1917980271720487,1.1990878836953467,26.399760390000004,3.1558003399999994,1.7249040239418645,jumping
5.7628299599999995,19.203907245609848,12.3408375,45.56884,-21.680992,398.3123621108799,33735.44104877195,28.4669455,-0.0006181468450859464,0.6035899979549995,-0.7586502019120611,-4.6959512000000005,7.380436917704042,7.4599585,7.710826,-17.573141,75.97809827802807,7660.6397855312325,13.984531749999999,-0.0006101189484334736,-0.10842623856992005,-1.3677050953563896,-0.92835025,5.109037318029754,3.1315405,15.186421,-11.581951,26.703073880525512,2154.960209806028,5.967847000000001,-0.0003872320543713087,0.4949761777801581,0.8052297778363209,0.09804884,1.4489849671587955,1.2789205,2.412152,-3.097249,2.088175435727,164.219779497332,2.6086842500000005,-0.0008950447703350164,-0.1991419751039088,-1.186361014542201,0.34161450000000004,0.8930381172034895,0.6084935,1.934878,-1.673507,0.90624237460082,79.98696747610987,1.2639987499999998,-0.0006461927097732125,-0.41604295480698855,-0.6066166888695359,-0.39647182000000003,2.7925651149563437,1.6743735000000002,5.176284,-4.301374,7.877625626112539,627.8745381786077,3.6711080000000003,-0.00039398350681879037,0.6806522745920736,-0.6998336907471776,26.547743010000005,4.533992999999999,1.7398422750918006,jumping
6.339715830000002,16.826655118455836,14.261137000000002,42.100091,-21.680992,320.496956055854,28251.74302171529,26.628049250000004,-0.0011361453687967185,0.20168818970142496,-0.8974191301125116,-3.7058650500000003,8.711955394115229,7.257274000000001,14.054862,-19.54297,88.87262088997443,8024.491495739522,13.829918499999998,-0.0008821712698066771,-0.07227671966264654,-0.9574035317247054,-0.7899638499999999,4.7058810982813934,2.6949734999999997,7.838467,-11.581951,22.54790662635729,1810.4353594918398,5.795913499999999,-9.980676359450212e-05,-0.45135270339017675,-0.4045848691062157,0.04708647999999999,1.379312027934425,1.207701,2.412152,-2.683606,1.8856937902993203,147.59794513995917,2.2945355000000003,-0.0005536385809602381,0.01799127096738772,-1.1432061610578579,0.18822234000000002,1.0006676194387913,0.6775869999999999,1.934878,-2.552972,1.0267499770224398,83.02395538417727,1.33071025,-0.0003286826354587948,-0.5437192313135524,-0.15013962308798767,-0.6958013099999999,3.0006908265445635,1.9442305,5.176284,-4.301374,9.398243445141329,772.2385486784704,5.3702175,-0.0003966893046785772,0.4827448946081164,-1.242721903460017,26.034487530000007,4.86084169,1.5425556488641188,jumping
