SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469803,-4.891653,-5.29373,-10.580426,0.36479,0.148504,0.240242,-31.745483,-47.529724,-664.754822
1733469803,-5.556344,-5.464915,-10.502315,0.553239,0.033777,0.150847,-32.039688,-47.638351,-664.851562
1733469803,-6.526444,-6.010344,-10.338013,0.730242,-0.142776,-0.042417,-31.894928,-47.980927,-663.977295
1733469803,-7.179762,-6.486042,-9.838373,0.78871,-0.312981,-0.27466,-31.945358,-48.490662,-664.810852
1733469803,-7.523031,-6.5239,-9.478195,0.785704,-0.4272,-0.48628,-32.141266,-48.646851,-664.405518
1733469803,-7.357382,-6.485294,-9.588029,0.789726,-0.469292,-0.613103,-32.0215,-49.062531,-664.361816
1733469803,-6.90398,-6.146065,-9.99654,0.846813,-0.482556,-0.647009,-31.883759,-49.516953,-663.792358
1733469803,-6.266524,-5.755062,-10.310181,0.942502,-0.475729,-0.595671,-32.275284,-49.914474,-663.416748
1733469803,-5.765238,-5.616947,-10.404153,1.039329,-0.478358,-0.522097,-32.385498,-50.495255,-664.078857
1733469803,-5.690568,-5.688324,-10.136451,1.108998,-0.463279,-0.467844,-32.39682,-51.05687,-663.473267
1733469803,-6.038177,-5.732018,-9.713725,1.139097,-0.392312,-0.45463,-32.442291,-51.445938,-663.993896
1733469803,-6.508488,-5.827038,-9.303119,1.131791,-0.323181,-0.517083,-32.788666,-52.154907,-663.445984
1733469803,-6.953659,-6.025457,-8.907178,1.131829,-0.292934,-0.637927,-32.936646,-52.760986,-663.009949
1733469803,-7.17213,-6.103419,-8.791957,1.174443,-0.361253,-0.743375,-32.950928,-53.158997,-663.765564
1733469803,-6.873903,-6.313959,-8.544606,1.252782,-0.636068,-0.809405,-33.284958,-53.911911,-663.415161
1733469803,-6.559963,-6.446837,-8.259696,1.397683,-0.963891,-0.896324,-33.381454,-54.444992,-663.409973
1733469803,-6.618621,-6.108955,-8.319551,1.595032,-1.143729,-0.975887,-34.00264,-55.134003,-662.963501
1733469803,-6.060323,-5.459678,-8.154052,1.766113,-1.192322,-0.987565,-33.981262,-56.111923,-662.452759
1733469803,-5.877167,-5.535095,-7.5977,1.870196,-1.254867,-0.947938,-34.487289,-56.984528,-662.27478
1733469803,-5.877167,-5.535095,-7.5977,1.90897,-1.22681,-0.868005,-34.642059,-57.907837,-661.70929
1733469803,-6.662914,-5.831826,-6.753444,1.870658,-1.02346,-0.830861,-35.383499,-58.842072,-661.914551
1733469803,-6.662914,-5.831826,-6.753444,1.754449,-0.792263,-0.897164,-35.630692,-59.706512,-660.795654
1733469803,-7.095516,-6.12781,-5.815665,1.60922,-0.648912,-0.986162,-35.784012,-60.389084,-661.028748
1733469803,-7.006033,-6.173898,-3.978565,1.488681,-0.627845,-1.056096,-35.846405,-61.156158,-660.968567
