SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469766,0.179266,-5.347599,-8.251167,-0.46244,0.476355,-0.059589,-10.336578,-49.678467,-656.22937
1733469766,0.067038,-5.207838,-8.178144,-0.572558,0.55458,-0.081918,-10.044357,-49.326721,-656.11615
1733469766,0.193781,-5.259462,-8.250868,-0.696186,0.587806,-0.090183,-9.642075,-48.937943,-655.931396
1733469766,0.401627,-5.461773,-8.532785,-0.803352,0.469283,-0.096469,-9.247986,-48.806442,-656.576294
1733469766,0.115071,-5.802946,-9.381679,-0.907659,0.386494,-0.107899,-9.246429,-48.102127,-656.230652
1733469766,-0.77213,-6.842628,-10.784382,-1.043374,0.640448,-0.194373,-9.219971,-47.589951,-656.00769
1733469766,-1.704372,-7.725341,-11.411064,-1.149005,0.983545,-0.411182,-8.856537,-47.589401,-656.331238
1733469766,-1.429488,-8.094048,-11.723807,-1.028952,0.904463,-0.699062,-8.493942,-46.757904,-655.499573
1733469766,-0.496797,-7.237073,-12.63525,-0.71141,0.599367,-0.866999,-7.339203,-46.030762,-655.220642
1733469766,0.696264,-5.886294,-13.021614,-0.478359,0.324406,-0.752536,-7.805359,-45.781677,-654.794556
1733469766,1.484704,-5.560683,-13.788656,0.06459,0.088497,-0.562361,-7.793259,-45.854568,-654.788696
1733469766,1.474679,-4.617966,-14.260015,0.745185,0.102395,-0.349737,-7.137192,-45.929321,-655.22406
1733469766,2.502988,-3.181894,-13.130999,1.170956,0.030075,0.085746,-7.346268,-46.452774,-654.563965
1733469766,3.223793,-3.923947,-12.443115,1.488001,-0.157625,0.621981,-7.907883,-47.378036,-655.32135
1733469766,2.578705,-5.027823,-12.106879,1.721322,-0.295557,0.836272,-8.14888,-48.317505,-654.602539
1733469766,1.489792,-5.618144,-11.634773,1.943248,-0.368542,0.892271,-8.220047,-49.532471,-654.781311
1733469766,0.231938,-6.012589,-10.638934,2.145188,-0.252365,0.839229,-8.820923,-50.611786,-655.200806
1733469766,-0.266953,-6.758233,-8.684518,2.189272,-0.258034,0.570631,-9.112778,-51.801987,-654.535889
1733469766,-0.560094,-7.500286,-6.182876,1.991804,-0.65653,0.226365,-9.488968,-52.196625,-654.651245
1733469766,-1.617882,-8.128015,-2.790143,1.226929,-1.570656,-0.215616,-10.253067,-52.780869,-654.828003
1733469767,-2.148646,-8.377611,-2.396596,0.353491,-2.46171,-0.684158,-10.796906,-52.606873,-656.206665
1733469767,-1.343297,-7.52722,-4.881927,0.064083,-3.31678,-0.9145,-12.013397,-52.390106,-656.546082
1733469767,-0.072125,-6.599467,-7.447464,0.104767,-3.919685,-0.970111,-13.853653,-52.190338,-658.714905
1733469767,0.551415,-6.509385,-9.510966,0.233227,-4.183819,-1.01026,-15.212463,-51.971191,-659.283997
1733469767,-0.036661,-6.770054,-13.855095,0.001108,-2.686213,-1.065434,-15.485855,-51.960266,-659.000366
1733469767,-0.621595,-5.085284,-11.965172,0.391304,-2.059189,-0.941182,-16.253891,-51.878571,-658.738037
1733469767,-1.460613,-3.961356,-10.476428,0.730271,-1.531204,-0.749573,-16.390457,-52.037552,-659.737549
1733469767,-2.032378,-3.482815,-9.510218,1.119948,-1.365749,-0.511286,-16.634232,-52.541809,-659.008484
1733469767,-2.794931,-2.801366,-8.641721,1.527623,-1.401262,-0.226329,-17.326904,-53.261658,-659.846985
1733469767,-2.691532,-2.112284,-8.393772,1.944251,-1.444515,0.089066,-17.91066,-54.30249,-659.016296
1733469767,-2.731335,-1.612794,-8.24982,2.322654,-1.331279,0.392694,-18.534698,-55.550293,-658.647949
1733469767,-2.689437,-1.414524,-6.687454,2.633707,-1.191501,0.679268,-19.348801,-56.986755,-659.253784
1733469767,-3.160047,-2.360533,-4.952705,2.958444,-1.250779,0.893402,-21.176331,-58.650803,-658.596191
1733469767,-4.211999,-5.736806,-3.550302,2.8346,-1.293764,0.661867,-24.172134,-59.783707,-660.137939
1733469767,-4.349367,-13.817836,0.893336,1.446019,-2.154991,-0.713259,-22.841202,-59.78627,-659.450745
1733469767,-4.279785,-15.549442,0.094272,0.414096,-2.473358,-2.151257,-20.920059,-59.155853,-658.465027
1733469767,-4.899584,-7.155969,-4.304625,0.03459,-1.60641,-2.211458,-21.447723,-59.015228,-659.777039
1733469767,-3.944597,-3.029413,-4.117129,-0.248827,-0.773514,-1.762403,-22.618744,-58.781509,-659.156616
1733469767,-2.09358,-4.095282,-3.607014,-0.681661,-0.3081,-1.772035,-21.833267,-58.133118,-660.143555
1733469767,-0.234482,-4.355651,-4.156933,-0.887213,-0.043053,-1.777372,-21.270477,-57.565704,-660.245483
1733469767,0.488118,-2.807201,-3.526509,-0.677909,0.103514,-1.336066,-21.399033,-57.26889,-659.07843
1733469767,0.669329,-1.790115,-0.991499,-0.404163,-0.195002,-0.860079,-21.887299,-57.025925,-660.334106
1733469767,0.40477,-1.398363,2.231994,-0.384703,-1.103621,-0.557566,-22.621689,-56.976822,-660.149475
1733469767,-0.435445,-2.230648,3.453786,-0.513116,-2.322553,-0.427435,-24.159195,-56.470337,-661.041809
1733469767,-2.274043,-3.461417,1.724274,-0.643454,-3.121267,-0.57664,-25.337921,-56.003174,-661.768372
1733469767,-3.886388,-3.453935,-0.058658,-0.766349,-3.441418,-0.930232,-26.72438,-55.425064,-661.255005
1733469767,-4.262128,-2.746598,-1.200842,-0.837277,-3.436352,-1.283588,-27.950516,-54.871918,-662.329712
1733469767,-3.358466,-2.482787,-1.952023,-0.886403,-3.17633,-1.475235,-28.962921,-54.401413,-662.21167
1733469767,-1.714099,-2.326865,-1.961599,-0.973961,-2.890869,-1.495646,-30.162064,-53.813171,-663.025269
1733469767,-0.163255,-1.610699,-1.477522,-1.06572,-2.684803,-1.3657,-31.508621,-53.134277,-663.23584
1733469767,1.365593,-0.116717,-0.217274,-1.135133,-2.718708,-1.073919,-32.759506,-52.536667,-663.313904
1733469767,2.570175,0.113425,0.98267,-1.377249,-2.760306,-0.745723,-34.286758,-51.799469,-664.184265
1733469767,3.130868,-0.186,2.523638,-1.781876,-3.103825,-0.410536,-36.016296,-50.681564,-663.925232
1733469767,2.483984,0.7431,3.176208,-2.249861,-3.531539,-0.13782,-37.847748,-49.558731,-664.703613
1733469767,2.046294,1.748066,3.5509,-2.752119,-4.218506,0.076946,-40.356476,-47.974731,-664.605469
1733469767,2.145803,3.064578,1.510292,-3.072542,-4.979204,0.388839,-42.869095,-46.532181,-665.049805
1733469767,1.777695,3.273472,-2.355894,-3.000056,-5.460467,0.702652,-45.528824,-45.110931,-664.392273
1733469767,0.807893,3.508403,-3.44765,-2.639572,-6.024269,1.006218,-48.297806,-44.026718,-663.559631
1733469767,-0.070928,3.879355,-5.892729,-2.286475,-6.098282,1.259028,-50.942917,-42.869781,-662.035278
1733469767,0.46657,4.480898,-6.191256,-2.079709,-6.017984,1.618492,-53.321014,-41.198608,-661.507202
1733469767,0.77617,5.632509,-6.66037,-1.951999,-5.780771,2.173275,-55.42186,-39.929413,-660.648315
1733469767,1.15191,6.579416,-7.1226,-1.920652,-5.210332,3.599394,-57.876862,-38.39653,-658.826599
1733469767,0.25199,8.437915,-6.013187,-2.063679,-5.244558,4.345504,-59.879684,-36.555603,-658.040161
1733469767,-1.287781,9.466673,-6.894852,-2.071777,-5.300745,5.050101,-61.508011,-34.361084,-656.524231
1733469767,-2.864064,10.509049,-8.445846,-1.935,-5.22163,5.757913,-62.52092,-31.965668,-654.376343
1733469767,-2.864064,10.509049,-8.445846,-1.935,-5.22163,5.757913,-63.327072,-29.188171,-653.260254
1733469767,-7.720103,12.939313,-12.193819,-1.834505,-4.262988,7.009293,-64.150452,-26.327866,-651.43988
1733469767,-10.652551,12.934076,-14.895526,-1.79382,-3.643039,7.339236,-64.43309,-23.596588,-650.129944
1733469767,-13.732243,12.891878,-17.749564,-1.468518,-3.109285,7.406959,-64.181229,-21.060898,-648.879578
1733469767,-16.176573,12.701539,-20.704906,-0.637022,-2.684674,7.270032,-63.553909,-18.255524,-648.287903
1733469767,-18.848353,12.305748,-22.815245,0.611226,-2.187833,6.957482,-62.591553,-16.310928,-647.443176
1733469767,-20.798131,11.709442,-22.519412,1.838386,-1.651411,6.552741,-61.553925,-14.978485,-647.475464
1733469767,-21.993136,11.254394,-20.187459,2.697093,-1.255002,6.036422,-60.550888,-14.141373,-646.850647
1733469767,-22.695386,11.438747,-17.024869,3.167149,-1.118352,5.484873,-59.5345,-13.493057,-647.777588
1733469767,-22.914605,11.812243,-14.859613,3.450335,-1.15492,5.071261,-58.260178,-13.214554,-648.385925
1733469767,-23.459435,12.398074,-13.974057,3.721058,-1.176401,4.787024,-57.084122,-13.215912,-649.192871
1733469767,-25.153782,12.239608,-13.028048,4.016036,-1.318422,4.478573,-56.226028,-13.430832,-649.754028
1733469767,-27.303027,11.633127,-12.933627,4.332845,-1.37258,4.049004,-55.572174,-14.023758,-649.606384
1733469767,-29.431771,10.64881,-12.993482,4.585781,-1.22418,3.510583,-55.037277,-14.831238,-651.7229
1733469767,-31.464149,8.99322,-12.858958,4.698514,-0.837361,2.774547,-54.821991,-15.859116,-652.709961
1733469767,-32.18241,7.980772,-12.011859,4.656596,-0.43886,1.923035,-54.298309,-17.234436,-653.540527
1733469767,-31.564706,8.275259,-11.16087,4.672251,-0.091755,1.202465,-53.854034,-18.669022,-654.132812
1733469767,-30.491655,8.900295,-10.349236,4.855605,0.183361,0.691039,-53.444046,-20.680588,-655.578308
1733469767,-29.397504,9.614066,-9.153482,5.142489,0.377458,0.342187,-53.207382,-22.644852,-655.997314
1733469767,-28.807184,9.850195,-7.503578,5.384109,0.463183,0.021772,-53.005722,-25.120926,-657.865662
1733469767,-28.544271,9.467122,-5.950489,5.500626,0.492364,-0.408906,-53.101517,-27.527298,-658.759094
1733469767,-28.200404,9.277382,-4.661211,5.535184,0.49017,-0.905095,-53.248932,-30.228104,-659.457153
1733469767,-27.431266,9.371205,-3.149722,5.510533,0.422417,-1.415406,-53.067505,-33.068115,-659.73584
1733469767,-26.662129,9.417892,-1.780987,5.405176,0.267175,-1.952384,-52.86908,-35.840927,-660.50769
1733469767,-25.621848,9.355792,-1.278803,5.322645,0.184158,-2.467957,-53.268692,-38.906555,-660.241455
1733469767,-24.31207,9.095722,-0.655413,5.239665,0.115602,-2.962232,-53.107788,-41.807053,-660.374512
1733469767,-22.822877,9.230994,0.070629,5.157375,0.070739,-3.396971,-53.267975,-44.906952,-659.705322
1733469767,-21.154717,9.431957,0.886603,5.081813,0.061079,-3.734159,-53.451767,-47.993774,-659.837585
1733469767,-19.596541,9.276933,2.029535,4.952731,-0.008348,-4.022125,-53.149582,-50.982086,-659.095947
1733469767,-18.047642,8.869619,3.093907,4.751715,-0.12877,-4.300505,-52.945419,-53.883652,-658.861084
1733469767,-16.537349,8.400805,3.832369,4.488306,-0.26298,-4.555484,-52.628983,-56.758911,-658.274841
1733469767,-15.221287,7.924658,4.466682,4.18184,-0.388523,-4.797861,-52.205948,-59.433609,-657.627258
1733469767,-14.075212,7.34571,4.923825,3.841717,-0.523507,-5.049714,-51.557968,-62.174072,-655.811523
1733469767,-12.830676,6.897246,5.291335,3.498361,-0.70745,-5.299779,-50.739014,-64.332245,-656.213074
1733469767,-11.456554,6.69763,5.560833,3.195134,-0.955611,-5.506579,-49.685715,-66.717072,-654.908386
1733469767,-9.801413,6.806117,5.696404,2.942631,-1.232928,-5.615543,-48.824905,-68.5392,-653.960876
1733469767,-8.008305,6.735488,5.878663,2.696108,-1.553529,-5.617054,-48.200531,-70.334976,-652.986816
1733469767,-6.408081,6.469432,5.948843,2.424493,-1.833794,-5.514419,-47.13237,-71.899155,-651.694092
1733469767,-5.19856,6.229114,6.070798,2.092955,-2.017151,-5.341522,-46.189758,-73.380569,-651.332275
1733469767,-4.466982,5.812673,6.131999,1.684933,-2.094688,-5.151737,-45.185944,-74.596512,-650.165405
1733469767,-3.926042,5.213224,5.886594,1.226721,-2.000356,-4.964938,-44.392776,-75.509567,-649.83783
1733469767,-3.562871,4.716278,5.585822,0.765764,-1.769238,-4.799838,-43.513031,-76.267746,-649.057617
1733469767,-3.374777,4.184915,5.610363,0.305531,-1.502656,-4.6978,-42.229218,-76.950958,-649.612549
1733469767,-3.12982,3.876961,5.872677,-0.120197,-1.350892,-4.636291,-41.282181,-77.070023,-650.187622
1733469767,-2.397494,4.122516,6.093393,-0.475923,-1.350978,-4.55163,-40.101166,-77.232742,-649.829224
1733469767,-1.488146,4.281431,6.306477,-0.762708,-1.545866,-4.430142,-39.043152,-77.303818,-650.277222
1733469767,-0.614562,3.96375,6.30528,-0.997017,-1.897303,-4.294538,-39.043152,-77.303818,-650.277222
1733469767,-0.07437,3.576638,5.933131,-1.1959,-2.306917,-4.149011,-38.541412,-77.046219,-650.84491
1733469767,0.291494,3.324798,5.096358,-1.366634,-2.612865,-3.995152,-37.796356,-76.59668,-651.138855
1733469767,0.637905,2.961328,4.184167,-1.512465,-2.778314,-3.827815,-37.432755,-76.194168,-651.688416
1733469767,0.996736,2.603844,3.513641,-1.637492,-2.848624,-3.64241,-36.909286,-75.795624,-652.280762
1733469767,1.307084,2.208651,3.015497,-1.769941,-2.813298,-3.442899,-36.737976,-75.140411,-652.843079
1733469767,1.518971,1.929128,2.687342,-1.922687,-2.706085,-3.245734,-36.480118,-74.497955,-653.450684
1733469767,1.765873,1.677587,2.384924,-2.075587,-2.544065,-3.065825,-36.283401,-73.769455,-654.216797
1733469767,2.164957,1.566855,2.333299,-2.215055,-2.425714,-2.873831,-36.258957,-73.036331,-654.883179
1733469768,2.769044,1.790115,2.49401,-2.315025,-2.413358,-2.646701,-36.23996,-72.175308,-655.647583
1733469768,3.199252,1.950676,2.845958,-2.396482,-2.539123,-2.401977,-36.688492,-71.324921,-655.960999
1733469768,3.856311,2.196381,2.9317,-2.484971,-2.729656,-2.130227,-36.929016,-70.281143,-657.107178
1733469768,4.137629,2.194735,3.248183,-2.639149,-2.969406,-1.846741,-37.35997,-69.004105,-657.728271
1733469768,4.382586,2.211345,3.273921,-2.873958,-3.249652,-1.54889,-38.283752,-67.905548,-658.764709
1733469768,4.641609,2.770241,2.999935,-3.142957,-3.493634,-1.22043,-39.360916,-66.46022,-659.549377
1733469768,4.803517,3.503764,2.603994,-3.438838,-3.734949,-0.868524,-40.629181,-65.135544,-659.976379
1733469768,4.808006,4.469526,1.904438,-3.693473,-4.03164,-0.464094,-41.986511,-63.359116,-660.333496
1733469768,4.782867,5.386355,0.705092,-3.842069,-4.281157,0.005177,-43.47171,-61.620987,-661.101257
1733469768,4.680365,6.142474,-0.551415,-3.877319,-4.461992,0.503076,-45.463211,-59.631744,-661.92572
1733469768,4.722712,6.451027,-1.665616,-3.845339,-4.553597,1.03426,-47.573318,-57.750565,-661.797852
1733469768,4.699818,7.042245,-2.359486,-3.840636,-4.601636,1.621049,-49.810059,-55.723083,-661.68634
1733469768,4.584896,7.937078,-2.701707,-3.935969,-4.630832,2.237846,-51.83786,-53.874161,-661.540771
1733469768,4.200477,9.138368,-3.205537,-4.11676,-4.732773,2.870359,-54.433578,-51.366913,-661.105713
1733469768,3.10094,11.333253,-4.375852,-4.196543,-4.889754,3.532818,-56.664841,-48.656006,-660.510925
1733469768,1.777844,13.496115,-5.953182,-4.027586,-5.023198,4.269331,-58.626297,-46.002197,-659.041077
1733469768,0.254234,15.272912,-6.923882,-3.750141,-5.136399,5.042585,-60.677948,-43.084106,-657.618958
1733469768,-1.270723,16.524032,-7.364864,-3.534782,-5.239565,5.851259,-62.576797,-39.840088,-656.242798
1733469768,-3.399317,17.613543,-8.098537,-3.481165,-5.214023,6.593169,-64.328781,-36.56633,-654.393311
1733469768,-6.148759,18.650532,-9.240122,-3.564792,-4.996905,7.184151,-65.66394,-32.8629,-652.394165
1733469768,-8.867225,19.225589,-11.124808,-3.664675,-4.673284,7.586344,-66.942734,-29.256165,-650.744385
1733469768,-11.492168,18.93185,-14.034062,-3.599877,-4.217258,7.71545,-67.639542,-25.566605,-649.081299
1733469768,-13.475764,18.170195,-16.785897,-3.208622,-3.746317,7.646109,-67.484894,-21.678864,-646.828369
1733469768,-14.659846,17.993922,-19.115605,-2.586962,-3.26608,7.535346,-66.885391,-18.411072,-645.092529
1733469768,-15.307328,17.819594,-21.053861,-1.82988,-2.667639,7.441071,-65.845154,-15.231186,-643.637634
1733469768,-16.044144,18.162264,-21.737705,-1.07582,-1.948343,7.38769,-64.70813,-12.521027,-642.477905
1733469768,-16.828395,18.749143,-20.383634,-0.550576,-1.433292,7.291182,-63.217545,-10.266113,-641.085327
1733469768,-18.334198,20.147057,-17.822736,-0.259684,-1.486935,7.065439,-61.312851,-7.850082,-641.446045
1733469768,-20.27799,21.545421,-16.539444,0.038655,-2.031402,6.678408,-59.76416,-6.208969,-640.268555
1733469768,-21.700146,21.959019,-16.812683,0.517911,-2.858386,6.236428,-58.074173,-4.530899,-639.779785
1733469768,-22.874801,21.921161,-18.502241,1.238781,-3.58168,5.902854,-56.531235,-3.202438,-638.841003
