SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469060,7.502381,-6.923433,-0.359878,-0.078565,0.182628,-0.198278,-24.889618,-84.916382,-609.801453
1733469060,7.140108,-7.04838,-0.372897,0.03903,0.158281,-0.237408,-24.93869,-84.683838,-609.568787
1733469060,6.682366,-7.279121,-0.563386,0.130107,0.259935,-0.27715,-24.486679,-84.562744,-610.011719
1733469060,6.605303,-7.449259,-0.661099,0.301511,0.243601,-0.331502,-24.63121,-84.533035,-610.073303
1733469060,6.39611,-7.804798,-0.252738,0.415152,0.220729,-0.397406,-24.274719,-84.528687,-609.673096
1733469060,6.162675,-7.708731,0.069432,0.45852,0.225246,-0.472175,-24.221176,-84.315811,-609.222046
1733469060,5.876418,-7.354688,0.584036,0.454362,0.183068,-0.582385,-24.061508,-84.308563,-609.199707
1733469060,5.454889,-7.550564,1.032948,0.427679,0.150537,-0.73636,-23.793839,-84.030563,-608.426392
1733469060,5.141099,-7.557746,1.135899,0.363798,0.155192,-0.90147,-23.653717,-83.883469,-608.4422
1733469060,5.169081,-7.299771,1.10253,0.311996,0.144682,-1.036393,-23.200821,-83.83667,-608.007629
1733469060,5.517587,-6.997204,0.880318,0.331666,0.13328,-1.119016,-22.651932,-83.483261,-607.653198
1733469060,5.940763,-6.721721,0.402525,0.401323,0.139866,-1.164704,-22.22261,-83.401215,-608.333252
1733469060,6.226121,-6.455666,0.007931,0.498461,0.154412,-1.192948,-21.568298,-82.988129,-607.48645
1733469060,6.463147,-6.15639,-0.164003,0.600763,0.144215,-1.209447,-21.201706,-82.557465,-607.620239
1733469060,6.570737,-6.01199,-0.224756,0.70282,0.181388,-1.240182,-20.68219,-82.43306,-606.634583
1733469060,6.43741,-5.883152,-0.239869,0.770252,0.207765,-1.3137,-20.227325,-81.976151,-606.444702
1733469060,6.144719,-5.654356,0.122404,0.820604,0.182321,-1.416147,-19.672577,-81.633469,-606.497131
1733469060,6.01184,-5.394286,0.460285,0.87923,0.110392,-1.526452,-19.038513,-81.282303,-605.575867
1733469060,6.09474,-5.0377,0.6813,0.949517,-0.027424,-1.624082,-18.433517,-80.862289,-606.428589
